date,asset,ret
2017-06-12,GLD,-0.0014932827593217013
2017-06-13,GLD,0.0009970317877492363
2017-06-14,GLD,-0.00547811789275976
2017-06-15,GLD,-0.004172926066378535
2017-06-16,GLD,0.00016758836001962152
2017-06-19,GLD,-0.007625239321596311
2017-06-20,GLD,-0.0021109516115493943
2017-06-21,GLD,0.0028769363429739236
2017-06-22,GLD,0.0033749707830614817
2017-06-23,GLD,0.004288615406013774
2017-06-26,GLD,-0.008959220397639522
2017-06-27,GLD,0.0038019343183648413
2017-06-28,GLD,0.0007575454013519778
2017-06-29,GLD,-0.00487806411784153
2017-06-30,GLD,-0.00253552275635216
2017-07-03,GLD,-0.016353163532217163
2017-07-05,GLD,0.003704025486608087
2017-07-06,GLD,-0.00042907160833882685
2017-07-07,GLD,-0.010217244173899132
2017-07-10,GLD,0.0016481821948142183
2017-07-11,GLD,0.0012990519121256483
2017-07-12,GLD,0.0035460648934033667
2017-07-13,GLD,-0.0018098688846157618
2017-07-14,GLD,0.008202356680584888
2017-07-17,GLD,0.004453235312239068
2017-07-18,GLD,0.006991215691223296
2017-07-19,GLD,-0.0002539901713813908
2017-07-20,GLD,0.001354979930841882
2017-07-21,GLD,0.008626558617128355
2017-07-24,GLD,0.00041921366315400554
2017-07-25,GLD,-0.0032687905257637873
2017-07-26,GLD,0.008072646310579579
2017-07-27,GLD,-0.0007507202198243634
2017-07-28,GLD,0.00751316068954333
2017-07-31,GLD,0.0004971211979458712
2017-08-01,GLD,-0.0008281447132181263
2017-08-02,GLD,-0.002072109381170417
2017-08-03,GLD,0.0015780299800982611
2017-08-04,GLD,-0.007794965092940864
2017-08-07,GLD,-0.0011700742821817434
2017-08-08,GLD,0.0029286123995055924
2017-08-09,GLD,0.012097421498902916
2017-08-10,GLD,0.007419021877765664
2017-08-11,GLD,0.004745944156777204
2017-08-14,GLD,-0.007085289845225606
2017-08-15,GLD,-0.007709931316675078
2017-08-16,GLD,0.007356582616572016
2017-08-17,GLD,0.00508734802014188
2017-08-18,GLD,-0.0015511047050799087
2017-08-21,GLD,0.0037612352656932746
2017-08-22,GLD,-0.00448031151993189
2017-08-23,GLD,0.003764005301683193
2017-08-24,GLD,-0.003097719565419932
2017-08-25,GLD,0.003679752595251218
2017-08-28,GLD,0.015887278895027057
2017-08-29,GLD,-0.0021654043401579948
2017-08-30,GLD,-0.00048221796718150856
2017-08-31,GLD,0.011740101940391323
2017-09-01,GLD,0.0019074699121892635
2017-09-05,GLD,0.011105834943620163
2017-09-06,GLD,-0.005099651110527015
2017-09-07,GLD,0.010409331674411826
2017-09-08,GLD,-0.0012487602904230899
2017-09-11,GLD,-0.01390950036975469
2017-09-12,GLD,0.0029320477853171933
2017-09-13,GLD,-0.007506297144185381
2017-09-14,GLD,0.004378656548724491
2017-09-15,GLD,-0.004993697404288455
2017-09-18,GLD,-0.009320466663927607
2017-09-19,GLD,0.0020907215740946228
2017-09-20,GLD,-0.008024393981386213
2017-09-21,GLD,-0.007603967161635139
2017-09-22,GLD,0.004564701313993336
2017-09-25,GLD,0.010467388330802407
2017-09-26,GLD,-0.01116196421162674
2017-09-27,GLD,-0.009420139990778287
2017-09-28,GLD,0.001885519931214219
2017-09-29,GLD,-0.005155038524977895
2017-10-02,GLD,-0.006662322551317712
2017-10-03,GLD,0.0004968550936175209
2017-10-04,GLD,0.002813840376879373
2017-10-05,GLD,-0.0053643767904709705
2017-10-06,GLD,0.004729503075844965
2017-10-09,GLD,0.0081757826666502
2017-10-10,GLD,0.002621229439913275
2017-10-11,GLD,0.0031862694835504968
2017-10-12,GLD,0.000814386133850542
2017-10-13,GLD,0.0075677460313676725
2017-10-16,GLD,-0.006864791440930884
2017-10-17,GLD,-0.006830966568647456
2017-10-18,GLD,-0.003766470931119148
2017-10-19,GLD,0.005917656213846323
2017-10-20,GLD,-0.006373059753138954
2017-10-23,GLD,0.0015623915833617996
2017-10-24,GLD,-0.003858794818776823
2017-10-25,GLD,0.0001648120231156902
2017-10-26,GLD,-0.00840541125580585
2017-10-27,GLD,0.004736970715121469
2017-10-30,GLD,0.0019023633137824625
2017-10-31,GLD,-0.003797565383496959
2017-11-01,GLD,0.003646328400454868
2017-11-02,GLD,0.0006605716344769696
2017-11-03,GLD,-0.004703355749991034
2017-11-06,GLD,0.008539203746006141
2017-11-07,GLD,-0.003616953850285376
2017-11-08,GLD,0.0034650455582678763
2017-11-09,GLD,0.004110828013571766
2017-11-10,GLD,-0.008187996581421442
2017-11-13,GLD,0.0014860093226882753
2017-11-14,GLD,0.0020608359165059653
2017-11-15,GLD,-0.0012339083538733808
2017-11-16,GLD,-8.23831309511025e-05
2017-11-17,GLD,0.012026351450757033
2017-11-20,GLD,-0.012616010451388715
2017-11-21,GLD,0.0016487064682373376
2017-11-22,GLD,0.009217308019892956
2017-11-24,GLD,-0.002527909692056296
2017-11-27,GLD,0.004169409233999888
2017-11-28,GLD,-0.0001628614521104188
2017-11-29,GLD,-0.0062698205225436565
2017-11-30,GLD,-0.007702412605330111
2017-12-01,GLD,0.004046225185331043
2017-12-04,GLD,-0.00337195530112111
2017-12-05,GLD,-0.007096885692240984
2017-12-06,GLD,-0.002077792558461522
2017-12-07,GLD,-0.01315900587216201
2017-12-08,GLD,-8.434894941455884e-05
2017-12-11,GLD,-0.003966924437765251
2017-12-12,GLD,0.0011863349471583629
2017-12-13,GLD,0.008633065001213636
2017-12-14,GLD,-0.002013911785324396
2017-12-15,GLD,0.0021020768465358497
2017-12-18,GLD,0.004614893860962033
2017-12-19,GLD,0.0007516606979649509
2017-12-20,GLD,0.002670670135530351
2017-12-21,GLD,0.0014150005810633637
2017-12-22,GLD,0.005236513137702126
2017-12-26,GLD,0.006862859144246114
2017-12-27,GLD,0.0037776687734956127
2017-12-28,GLD,0.005072364396301321
2017-12-29,GLD,0.006512031434223742
2018-01-02,GLD,0.012131014811884722
2018-01-03,GLD,-0.002636850395774437
2018-01-04,GLD,0.00512737855482448
2018-01-05,GLD,-0.0010361649479244672
2018-01-08,GLD,-0.00015961279955856167
2018-01-09,GLD,-0.0046284750854691525
2018-01-10,GLD,0.002405158456580736
2018-01-11,GLD,0.003279242310744168
2018-01-12,GLD,0.012117319941670202
2018-01-16,GLD,0.0016540570729914883
2018-01-17,GLD,-0.008099385028916384
2018-01-18,GLD,-0.002219746160232239
2018-01-19,GLD,0.004449368789751107
2018-01-22,GLD,0.0018193589642852004
2018-01-23,GLD,0.004974316982453653
2018-01-24,GLD,0.012177899643490031
2018-01-25,GLD,-0.006675468432262743
2018-01-26,GLD,0.0007814808358339587
2018-01-29,GLD,-0.005621994291566623
2018-01-30,GLD,-0.004318770545372663
2018-01-31,GLD,0.006703457836465088
2018-02-01,GLD,0.003290292152912322
2018-02-02,GLD,-0.013117887393550687
2018-02-05,GLD,0.002531843471552664
2018-02-06,GLD,-0.010496423649786535
2018-02-07,GLD,-0.004705665583148222
2018-02-08,GLD,0.0015225774502147793
2018-02-09,GLD,-0.0016803225174144565
2018-02-12,GLD,0.004808897328354433
2018-02-13,GLD,0.0056632293923437604
2018-02-14,GLD,0.017052616317100977
2018-02-15,GLD,0.001169844500285011
2018-02-16,GLD,-0.003271582663696204
2018-02-20,GLD,-0.013441710167313103
2018-02-21,GLD,-0.004594377467322608
2018-02-22,GLD,0.005093103382117992
2018-02-23,GLD,-0.0012668539845070992
2018-02-26,GLD,0.0024575674654647717
2018-02-27,GLD,-0.01043890649807222
2018-02-28,GLD,-0.0010388975966705294
2018-03-01,GLD,-0.0022399902343750444
2018-03-02,GLD,0.005372018620811936
2018-03-05,GLD,-0.0016747674096407872
2018-03-06,GLD,0.010784458146907872
2018-03-07,GLD,-0.006401624645603676
2018-03-08,GLD,-0.0023862794212923255
2018-03-09,GLD,0.0009568071147663115
2018-03-12,GLD,0.0
2018-03-13,GLD,0.0019117242474055995
2018-03-14,GLD,-0.0006360457292980959
2018-03-15,GLD,-0.006364323323672649
2018-03-16,GLD,-0.0024019459414951205
2018-03-19,GLD,0.0021669685053569143
2018-03-20,GLD,-0.004484705499084418
2018-03-21,GLD,0.01745640608927701
2018-03-22,GLD,-0.003953194075975608
2018-03-23,GLD,0.012938539529958382
2018-03-26,GLD,0.005250357853935794
2018-03-27,GLD,-0.0061584106879087885
2018-03-28,GLD,-0.01380496145836152
2018-03-29,GLD,0.0004771936450476133
2018-04-02,GLD,0.011686153191860393
2018-04-03,GLD,-0.007543604183229413
2018-04-04,GLD,0.0011876001018218396
2018-04-05,GLD,-0.005140323544257752
2018-04-06,GLD,0.004689954877408642
2018-04-09,GLD,0.0034021703240154633
2018-04-10,GLD,0.0023655815524343815
2018-04-11,GLD,0.007787899955785216
2018-04-12,GLD,-0.011630613197024187
2018-04-13,GLD,0.006555000660688037
2018-04-16,GLD,0.0014123209845888773
2018-04-17,GLD,0.0009402393572395251
2018-04-18,GLD,0.0007827669207129961
2018-04-19,GLD,-0.001955416527053
2018-04-20,GLD,-0.007601890535287481
2018-04-23,GLD,-0.007975949843974872
2018-04-24,GLD,0.004855919415812648
2018-04-25,GLD,-0.006496075996334616
2018-04-26,GLD,-0.0035085115107064135
2018-04-27,GLD,0.004241008034887361
2018-04-30,GLD,-0.007251025196090666
2018-05-01,GLD,-0.007063145351023148
2018-05-02,GLD,-0.0004849855228984401
2018-05-03,GLD,0.005095004008440096
2018-05-04,GLD,0.002092067418605348
2018-05-07,GLD,0.0002408766587147504
2018-05-08,GLD,0.00016052535213439967
2018-05-09,GLD,-0.0020868008225221057
2018-05-10,GLD,0.0068366320405601755
2018-05-11,GLD,-0.0014379318160805399
2018-05-14,GLD,-0.004080017089843735
2018-05-15,GLD,-0.01614583132241265
2018-05-16,GLD,-0.0015512935679184991
2018-05-17,GLD,0.0005724073456552237
2018-05-18,GLD,0.0004086552101045804
2018-05-21,GLD,0.0005718461950008358
2018-05-22,GLD,-0.0005715193738216051
2018-05-23,GLD,0.001061982268841355
2018-05-24,GLD,0.00856859323093273
2018-05-25,GLD,-0.003074660285441455
2018-05-29,GLD,-0.000162297242228715
2018-05-30,GLD,0.001461160009810003
2018-05-31,GLD,-0.00218857312515075
2018-06-01,GLD,-0.004955325896935703
2018-06-04,GLD,-0.000979631964080463
2018-06-05,GLD,0.003922495029546447
2018-06-06,GLD,0.0005697980927446
2018-06-07,GLD,-0.00048810250152531154
2018-06-08,GLD,0.0012209142530825723
2018-06-11,GLD,0.0017884823744616085
2018-06-12,GLD,-0.0033271415316106223
2018-06-13,GLD,0.003012561044629436
2018-06-14,GLD,0.0015422908372948463
2018-06-15,GLD,-0.01653429211330959
2018-06-18,GLD,-0.0018954650937899054
2018-06-19,GLD,-0.0025596363391253707
2018-06-20,GLD,-0.004470206141435118
2018-06-21,GLD,-0.001746208886931222
2018-06-22,GLD,0.0024156041546103957
2018-06-25,GLD,-0.0037393797734436296
2018-06-26,GLD,-0.0052547940330739396
2018-06-27,GLD,-0.005701830395735019
2018-06-28,GLD,-0.00303593021413906
2018-06-29,GLD,0.003637288959023266
2018-07-02,GLD,-0.010029518972628937
2018-07-03,GLD,0.01013112932642235
2018-07-05,GLD,0.003371272825408722
2018-07-06,GLD,-0.0015959885471287238
2018-07-09,GLD,0.0024398528860691826
2018-07-10,GLD,-0.001846422307055895
2018-07-11,GLD,-0.010846724226159843
2018-07-12,GLD,0.004165231777556899
2018-07-13,GLD,-0.004401901762097649
2018-07-16,GLD,-0.0005101399394812356
2018-07-17,GLD,-0.01080394929383155
2018-07-18,GLD,0.00025798744076199753
2018-07-19,GLD,-0.004298856594405098
2018-07-20,GLD,0.006476124823511453
2018-07-23,GLD,-0.004804371742649027
2018-07-24,GLD,0.0003448354786839136
2018-07-25,GLD,0.005515334234738045
2018-07-26,GLD,-0.0077991400388178755
2018-07-27,GLD,0.0005183138095208317
2018-07-30,GLD,-0.0015540041641225466
2018-07-31,GLD,0.002939873181190933
2018-08-01,GLD,-0.007328204929526905
2018-08-02,GLD,-0.005384772884042377
2018-08-03,GLD,0.003492853105171001
2018-08-06,GLD,-0.0051339744804317355
2018-08-07,GLD,0.0022740706959851753
2018-08-08,GLD,0.002792628802213759
2018-08-09,GLD,-0.0014794690881722028
2018-08-10,GLD,-0.0004357279352805721
2018-08-13,GLD,-0.01508416880379293
2018-08-14,GLD,0.0009738014451408095
2018-08-15,GLD,-0.016626844065553037
2018-08-16,GLD,-0.0008094609704913935
2018-08-17,GLD,0.009270916232611892
2018-08-20,GLD,0.0049942495470025605
2018-08-21,GLD,0.002928336094692563
2018-08-22,GLD,0.002211997942183075
2018-08-23,GLD,-0.009446452957847074
2018-08-24,GLD,0.01746886601762876
2018-08-27,GLD,0.00376657902932398
2018-08-28,GLD,-0.007941321771505638
2018-08-29,GLD,0.004574213948543848
2018-08-30,GLD,-0.004903656511020316
2018-08-31,GLD,-0.0011439392301669793
2018-09-04,GLD,-0.005109698001402485
2018-09-05,GLD,0.0034534613352918964
2018-09-06,GLD,0.0019414156485668688
2018-09-07,GLD,-0.0027302937827557994
2018-09-10,GLD,-0.000706542689065337
2018-09-11,GLD,0.0006186451072049959
2018-09-12,GLD,0.008390716640166218
2018-09-13,GLD,-0.003591101333891067
2018-09-14,GLD,-0.006504970809317334
2018-09-17,GLD,0.005220350246058381
2018-09-18,GLD,-0.0014963310274801467
2018-09-19,GLD,0.0038786565809445506
2018-09-20,GLD,0.0034246522572403126
2018-09-21,GLD,-0.006825928084458366
2018-09-24,GLD,-0.00017619740455376842
2018-09-25,GLD,0.0015863250483771907
2018-09-26,GLD,-0.005279352979018381
2018-09-27,GLD,-0.008845643281780058
2018-09-28,GLD,0.006336448595585464
2018-10-01,GLD,-0.001685016298391906
2018-10-02,GLD,0.011548397044346626
2018-10-03,GLD,-0.003951915050342092
2018-10-04,GLD,0.0005290529796950771
2018-10-05,GLD,0.002819877382429281
2018-10-08,GLD,-0.011072074713894375
2018-10-09,GLD,0.0005331220730910857
2018-10-10,GLD,0.00248666770063255
2018-10-11,GLD,0.025691013434101517
2018-10-12,GLD,-0.004750349180877911
2018-10-15,GLD,0.006682258271583086
