date,asset,is_live,is_tradeable,has_full_history_window
2017-04-18,SPY,True,True,True
2017-04-19,SPY,True,True,True
2017-04-20,SPY,True,True,True
2017-04-21,SPY,True,True,True
2017-04-24,SPY,True,True,True
2017-04-25,SPY,True,True,True
2017-04-26,SPY,True,True,True
2017-04-27,SPY,True,True,True
2017-04-28,SPY,True,True,True
2017-05-01,SPY,True,True,True
2017-05-02,SPY,True,True,True
2017-05-03,SPY,True,True,True
2017-05-04,SPY,True,True,True
2017-05-05,SPY,True,True,True
2017-05-08,SPY,True,True,True
2017-05-09,SPY,True,True,True
2017-05-10,SPY,True,True,True
2017-05-11,SPY,True,True,True
2017-05-12,SPY,True,True,True
2017-05-15,SPY,True,True,True
2017-05-16,SPY,True,True,True
2017-05-17,SPY,True,True,True
2017-05-18,SPY,True,True,True
2017-05-19,SPY,True,True,True
2017-05-22,SPY,True,True,True
2017-05-23,SPY,True,True,True
2017-05-24,SPY,True,True,True
2017-05-25,SPY,True,True,True
2017-05-26,SPY,True,True,True
2017-05-30,SPY,True,True,True
2017-05-31,SPY,True,True,True
2017-06-01,SPY,True,True,True
2017-06-02,SPY,True,True,True
2017-06-05,SPY,True,True,True
2017-06-06,SPY,True,True,True
2017-06-07,SPY,True,True,True
2017-06-08,SPY,True,True,True
2017-06-09,SPY,True,True,True
2017-06-12,SPY,True,True,True
2017-06-13,SPY,True,True,True
2017-06-14,SPY,True,True,True
2017-06-15,SPY,True,True,True
2017-06-16,SPY,True,True,True
2017-06-19,SPY,True,True,True
2017-06-20,SPY,True,True,True
2017-06-21,SPY,True,True,True
2017-06-22,SPY,True,True,True
2017-06-23,SPY,True,True,True
2017-06-26,SPY,True,True,True
2017-06-27,SPY,True,True,True
2017-06-28,SPY,True,True,True
2017-06-29,SPY,True,True,True
2017-06-30,SPY,True,True,True
2017-07-03,SPY,True,True,True
2017-07-05,SPY,True,True,True
2017-07-06,SPY,True,True,True
2017-07-07,SPY,True,True,True
2017-07-10,SPY,True,True,True
2017-07-11,SPY,True,True,True
2017-07-12,SPY,True,True,True
2017-07-13,SPY,True,True,True
2017-07-14,SPY,True,True,True
2017-07-17,SPY,True,True,True
2017-07-18,SPY,True,True,True
2017-07-19,SPY,True,True,True
2017-07-20,SPY,True,True,True
2017-07-21,SPY,True,True,True
2017-07-24,SPY,True,True,True
2017-07-25,SPY,True,True,True
2017-07-26,SPY,True,True,True
2017-07-27,SPY,True,True,True
2017-07-28,SPY,True,True,True
2017-07-31,SPY,True,True,True
2017-08-01,SPY,True,True,True
2017-08-02,SPY,True,True,True
2017-08-03,SPY,True,True,True
2017-08-04,SPY,True,True,True
2017-08-07,SPY,True,True,True
2017-08-08,SPY,True,True,True
2017-08-09,SPY,True,True,True
2017-08-10,SPY,True,True,True
2017-08-11,SPY,True,True,True
2017-08-14,SPY,True,True,True
2017-08-15,SPY,True,True,True
2017-08-16,SPY,True,True,True
2017-08-17,SPY,True,True,True
2017-08-18,SPY,True,True,True
2017-08-21,SPY,True,True,True
2017-08-22,SPY,True,True,True
2017-08-23,SPY,True,True,True
2017-08-24,SPY,True,True,True
2017-08-25,SPY,True,True,True
2017-08-28,SPY,True,True,True
2017-08-29,SPY,True,True,True
2017-08-30,SPY,True,True,True
2017-08-31,SPY,True,True,True
2017-09-01,SPY,True,True,True
2017-09-05,SPY,True,True,True
2017-09-06,SPY,True,True,True
2017-09-07,SPY,True,True,True
2017-09-08,SPY,True,True,True
2017-09-11,SPY,True,True,True
2017-09-12,SPY,True,True,True
2017-09-13,SPY,True,True,True
2017-09-14,SPY,True,True,True
2017-09-15,SPY,True,True,True
2017-09-18,SPY,True,True,True
2017-09-19,SPY,True,True,True
2017-09-20,SPY,True,True,True
2017-09-21,SPY,True,True,True
2017-09-22,SPY,True,True,True
2017-09-25,SPY,True,True,True
2017-09-26,SPY,True,True,True
2017-09-27,SPY,True,True,True
2017-09-28,SPY,True,True,True
2017-09-29,SPY,True,True,True
2017-10-02,SPY,True,True,True
2017-10-03,SPY,True,True,True
2017-10-04,SPY,True,True,True
2017-10-05,SPY,True,True,True
2017-10-06,SPY,True,True,True
2017-10-09,SPY,True,True,True
2017-10-10,SPY,True,True,True
2017-10-11,SPY,True,True,True
2017-10-12,SPY,True,True,True
2017-10-13,SPY,True,True,True
2017-10-16,SPY,True,True,True
2017-10-17,SPY,True,True,True
2017-10-18,SPY,True,True,True
2017-10-19,SPY,True,True,True
2017-10-20,SPY,True,True,True
2017-10-23,SPY,True,True,True
2017-10-24,SPY,True,True,True
2017-10-25,SPY,True,True,True
2017-10-26,SPY,True,True,True
2017-10-27,SPY,True,True,True
2017-10-30,SPY,True,True,True
2017-10-31,SPY,True,True,True
2017-11-01,SPY,True,True,True
2017-11-02,SPY,True,True,True
2017-11-03,SPY,True,True,True
2017-11-06,SPY,True,True,True
2017-11-07,SPY,True,True,True
2017-11-08,SPY,True,True,True
2017-11-09,SPY,True,True,True
2017-11-10,SPY,True,True,True
2017-11-13,SPY,True,True,True
2017-11-14,SPY,True,True,True
2017-11-15,SPY,True,True,True
2017-11-16,SPY,True,True,True
2017-11-17,SPY,True,True,True
2017-11-20,SPY,True,True,True
2017-11-21,SPY,True,True,True
2017-11-22,SPY,True,True,True
2017-11-24,SPY,True,True,True
2017-11-27,SPY,True,True,True
2017-11-28,SPY,True,True,True
2017-11-29,SPY,True,True,True
2017-11-30,SPY,True,True,True
2017-12-01,SPY,True,True,True
2017-12-04,SPY,True,True,True
2017-12-05,SPY,True,True,True
2017-12-06,SPY,True,True,True
2017-12-07,SPY,True,True,True
2017-12-08,SPY,True,True,True
2017-12-11,SPY,True,True,True
2017-12-12,SPY,True,True,True
2017-12-13,SPY,True,True,True
2017-12-14,SPY,True,True,True
2017-12-15,SPY,True,True,True
2017-12-18,SPY,True,True,True
2017-12-19,SPY,True,True,True
2017-12-20,SPY,True,True,True
2017-12-21,SPY,True,True,True
2017-12-22,SPY,True,True,True
2017-12-26,SPY,True,True,True
2017-12-27,SPY,True,True,True
2017-12-28,SPY,True,True,True
2017-12-29,SPY,True,True,True
2018-01-02,SPY,True,True,True
2018-01-03,SPY,True,True,True
2018-01-04,SPY,True,True,True
2018-01-05,SPY,True,True,True
2018-01-08,SPY,True,True,True
2018-01-09,SPY,True,True,True
2018-01-10,SPY,True,True,True
2018-01-11,SPY,True,True,True
2018-01-12,SPY,True,True,True
2018-01-16,SPY,True,True,True
2018-01-17,SPY,True,True,True
2018-01-18,SPY,True,True,True
2018-01-19,SPY,True,True,True
2018-01-22,SPY,True,True,True
2018-01-23,SPY,True,True,True
2018-01-24,SPY,True,True,True
2018-01-25,SPY,True,True,True
2018-01-26,SPY,True,True,True
2018-01-29,SPY,True,True,True
2018-01-30,SPY,True,True,True
2018-01-31,SPY,True,True,True
2018-02-01,SPY,True,True,True
2018-02-02,SPY,True,True,True
2018-02-05,SPY,True,True,True
2018-02-06,SPY,True,True,True
2018-02-07,SPY,True,True,True
2018-02-08,SPY,True,True,True
2018-02-09,SPY,True,True,True
2018-02-12,SPY,True,True,True
2018-02-13,SPY,True,True,True
2018-02-14,SPY,True,True,True
2018-02-15,SPY,True,True,True
2018-02-16,SPY,True,True,True
2018-02-20,SPY,True,True,True
2018-02-21,SPY,True,True,True
2018-02-22,SPY,True,True,True
2018-02-23,SPY,True,True,True
2018-02-26,SPY,True,True,True
2018-02-27,SPY,True,True,True
